SERVICE,Task Name,Category,Task Description,Frequency,Task Type,Automated (Y/N),Notes,Source,Documentation Link
Azure Security & Identity,Add company branding to your sign-in page in Azure AD,Azure Foundation: Entra ID (AAD),How to add branding to your organization's Entra ID sign-in page,As Required,,,,,https://docs.microsoft.com/en-us/azure/active-directory/fundamentals/customize-branding
Azure Security & Identity,Add new users to Entra ID,Azure Foundation: Entra ID (AAD),How to add users using Entra ID,As Required,,,,,https://docs.microsoft.com/en-us/azure/active-directory/fundamentals/add-users-azure-active-directory
Azure Security & Identity,manages federation between Entra ID tenants and external identity providers,Azure Foundation: Entra ID (AAD),Manage direct federation with ADFS and third-party providers for guest users,As Required,,,,,https://docs.microsoft.com/en-us/azure/active-directory/b2b/direct-federation
Azure Security & Identity,License users in Entra ID,Azure Foundation: Entra ID (AAD),How to assign or remove licenses in the Entra ID portal,As Required,,,,,https://docs.microsoft.com/en-us/azure/active-directory/fundamentals/license-users-groups
Azure Security & Identity,Configure and manage self-service password reset (SSPR),Azure Foundation: Entra ID (AAD),How to configure Entra ID self-service password reset,As Required,,,,,https://docs.microsoft.com/en-us/azure/active-directory/authentication/quickstart-sspr
Azure Security & Identity,Manage users,Azure Foundation: Entra ID (AAD),How to add or update a user's profile information using Entra ID,As Required,,,,,https://docs.microsoft.com/en-us/azure/active-directory/fundamentals/active-directory-users-profile-azure-portal
Azure Security & Identity,Manage access to resources with Entra ID groups,Azure Foundation: Entra ID (AAD),Manage applications and resource access using Entra ID groups,As Required,,,,,https://docs.microsoft.com/en-us/azure/active-directory/fundamentals/active-directory-manage-groups
Azure Security & Identity,Manage Entra ID reporting,Azure Foundation: Entra ID (AAD),Manage Entra ID reports,As Required,,,,,https://docs.microsoft.com/en-us/azure/active-directory/reports-monitoring/overview-reports
Azure Security & Identity,Manage devices,Azure Foundation: Entra ID (AAD),Manage devices in Entra ID,As Required,,,,,https://docs.microsoft.com/en-us/azure/active-directory/devices/overview
Azure Security & Identity,Manage apps,Azure Foundation: Entra ID (AAD),Manage applications in Entra ID,As Required,,,,,https://docs.microsoft.com/en-us/azure/active-directory/manage-apps/what-is-application-management
Azure Security & Identity,Manage Directory,Azure Foundation: Entra ID (AAD),Manage Entra ID reports,As Required,,,,,https://docs.microsoft.com/en-us/azure/active-directory/fundamentals/active-directory-administer
Azure Security & Identity,Manage Azure AD Connect,Azure Foundation: Entra ID (AAD),Manage Entra ID Connect,As Required,,,,,https://docs.microsoft.com/en-us/azure/active-directory/connect/active-directory-aadconnect-whats-next
Azure Security & Identity,Manage ADFS,Azure Foundation: Entra ID (AAD),Manage and deploy ADFS in Azure,As Required,,,,,https://docs.microsoft.com/en-us/azure/active-directory/connect/active-directory-aadconnect-azure-adfs
Azure Security & Identity,Manage Access to Azure,Azure Foundation: Entra ID (AAD),Manage Access to Azure with Entra ID,As Required,,,,,https://docs.microsoft.com/en-us/azure/active-directory/users-groups-roles/directory-assign-admin-roles
Azure Security & Identity,Manage Role Assignments to Azure resources,Azure Foundation: Entra ID (AAD),Manage access to Azure resources,As Required,,,,,https://docs.microsoft.com/en-us/azure/role-based-access-control/overview
Azure Security & Identity,Configurable token lifetimes in Entra ID ,Azure Foundation: Entra ID (AAD),How to configure token lifetimes in Entra ID,As Required,,,,,https://docs.microsoft.com/en-us/azure/active-directory/active-directory-configurable-token-lifetimes
Azure Security & Identity,Manage Access Reviews,Azure Foundation: Entra ID (AAD),"Entra ID access reviews enable organizations to efficiently manage group memberships, access to enterprise applications, and role assignments",As Required,,,,,https://docs.microsoft.com/en-us/azure/active-directory/active-directory-azure-ad-controls-access-reviews-overview
Azure Security & Identity,Integrate 3rd party servicers with AAD,Azure Foundation: Entra ID (AAD),How to integrating SaaS applications with Entra ID,As Required,,,,,https://docs.microsoft.com/en-us/azure/active-directory/saas-apps/tutorial-list
Azure Security & Identity,Manage MFA configuration ,Azure Foundation: Entra ID (AAD),How to configure Azure Multi-Factor Authentication settings,as Required,,,,,https://docs.microsoft.com/en-us/azure/active-directory/authentication/howto-mfa-mfasettings
Azure Security & Identity,Require re-register MFA  for a user,Azure Foundation: Entra ID (AAD),Manage user settings with Azure Multi-Factor Authentication in the cloud,as Required,,,,,https://docs.microsoft.com/en-us/azure/active-directory/authentication/howto-mfa-userdevicesettings
Azure Security & Identity,Revoke MFA for a user,Azure Foundation: Entra ID (AAD),Manage user authentication methods,as Required,,,,,https://docs.microsoft.com/en-us/azure/active-directory/authentication/howto-mfa-userdevicesettings#manage-authentication-methods
Azure Security & Identity,Publish applications via Azure Proxy,Azure Foundation: Entra ID (AAD),How to add an on-premises application for remote access through Application Proxy in Entra ID,as Required,,,,,https://docs.microsoft.com/en-us/azure/active-directory/manage-apps/application-proxy
Azure Security & Identity,Manage Azure Proxy,Azure Foundation: Entra ID (AAD),Manage Azure Proxy,as Required,,,,,https://docs.microsoft.com/en-us/azure/active-directory/manage-apps/application-proxy
Azure Security & Identity,Manage ATA DB,Azure Foundation: Advanced Threat Analytics (ATA) Solution,"Backing, restoring or moving ATA Database",As Required,,,,,https://docs.microsoft.com/en-us/advanced-threat-analytics/ata-database-management
Azure Security & Identity,Use ATA Health Centre,Azure Foundation: Advanced Threat Analytics (ATA) Solution,How to manage  ATA system health and events using the Health Centre,As Required,,,,,https://docs.microsoft.com/en-us/advanced-threat-analytics/ata-health-center
Azure Security & Identity,Create ATA Reports,Azure Foundation: Advanced Threat Analytics (ATA) Solution,How to create and manage ATA reports,As Required,,,,,https://docs.microsoft.com/en-us/advanced-threat-analytics/reports
Azure Security & Identity,Modifying the ATA Centre configuration,Azure Foundation: Advanced Threat Analytics (ATA) Solution,How to modify the ATA Centre configuration,As Required,,,,,https://docs.microsoft.com/en-us/advanced-threat-analytics/modifying-ata-center-configuration
Azure Security & Identity,Manage Telemetry Settings,Azure Foundation: Advanced Threat Analytics (ATA) Solution,Manage system-generated logs,As Required,,,,,https://docs.microsoft.com/en-us/advanced-threat-analytics/manage-telemetry-settings
Azure Security & Identity,Set ATA Notifications,Azure Foundation: Advanced Threat Analytics (ATA) Solution,How to set ATA Notifications,As Required,,,,,https://docs.microsoft.com/en-us/advanced-threat-analytics/setting-ata-alerts
Azure Security & Identity,Tag sensitive accounts,Azure Foundation: Advanced Threat Analytics (ATA) Solution,How to tag sensitive accounts in ATA,As Required,,,,,https://docs.microsoft.com/en-us/advanced-threat-analytics/tag-sensitive-accounts
Azure Security & Identity,Work with Suspicious Activities,Azure Foundation: Advanced Threat Analytics (ATA) Solution,Review and manage suspicious activities in ATA,As Required,,,,,https://docs.microsoft.com/en-us/advanced-threat-analytics/working-with-suspicious-activities
Azure Security & Identity,Maintain ATA configuration,Azure Foundation: Advanced Threat Analytics (ATA) Solution,,,,,,,
Azure Security & Identity,Install additional ATA Lightway or Full gateways,Azure Foundation: Advanced Threat Analytics (ATA) Solution,,As Required,,,,,
Azure Security & Identity,Troubleshoot ATA,Azure Foundation: Advanced Threat Analytics (ATA) Solution,How to troubleshoot ATA issues,As Required,,,,,https://docs.microsoft.com/en-us/advanced-threat-analytics/troubleshooting-ata-using-perf-counters
Azure Security & Identity,Configure Conditional Access in AAD for untrusted networks,Azure Foundation: AAD Conditional Access,how to configure MFA for access from untrusted networks with Conditional Access,As Required,,,,,https://docs.microsoft.com/en-us/azure/active-directory/conditional-access/untrusted-networks
Azure Security & Identity,Configure Entra ID device-based conditional access policies,Azure Foundation: AAD Conditional Access,How to require managed devices for cloud app access with Conditional Access,As Required,,,,,https://docs.microsoft.com/en-us/azure/active-directory/conditional-access/require-managed-devices
Azure Security & Identity,Configure Entra ID app-based conditional access,Azure Foundation: AAD Conditional Access,How to Require approved client apps for cloud app access with Conditional Access,As Required,,,,,https://docs.microsoft.com/en-us/azure/active-directory/conditional-access/app-based-conditional-access
Azure Security & Identity,Configure Entra ID Terms of Use feature,Azure Foundation: AAD Conditional Access,How to configure Entra ID Terms of Use,As Required,,,,,https://docs.microsoft.com/en-us/azure/active-directory/active-directory-tou
Azure Security & Identity,Configure Entra ID conditional access for VPN connectivity,Azure Foundation: AAD Conditional Access,"Always On VPN provides a single, cohesive solution for remote access and supports domain-joined, nondomain-joined (workgroup), or Azure AD–joined devices, even personally owned devices",As Required,,,,,https://docs.microsoft.com/en-us/windows-server/remote/remote-access/vpn/always-on-vpn/deploy/always-on-vpn-deploy
Azure Developer Tools,,,,,,,,,
Azure Site Recovery,Recovery - Automate Replication,Azure Site Recovery,Automate Hyper-V replication to AZURE,As Required,,,,,
